approach;sample_size;repetition;feature;informative;correlation
Feature;100;0;event:org:resource@112;True;0.1871307213800079
Feature;100;0;trace:AMOUNT_REQ@4500.0;True;0.08265581531669758
Feature;100;0;trace:AMOUNT_REQ@22600.0;False;0.0
Feature;100;0;trace:AMOUNT_REQ@20700.0;False;0.0
Feature;100;0;trace:AMOUNT_REQ@20900.0;False;0.0
Feature;100;0;event:org:resource@11304;False;0.0
Feature;100;0;trace:AMOUNT_REQ@18400.0;False;0.0
Feature;100;0;trace:AMOUNT_REQ@69000.0;False;0.0
Feature;100;0;trace:AMOUNT_REQ@18100.0;False;0.0
Feature;100;0;trace:AMOUNT_REQ@16600.0;False;0.0
Feature;100;0;trace:AMOUNT_REQ@23900.0;False;0.0
Feature;100;0;trace:AMOUNT_REQ@17200.0;False;0.0
Feature;100;0;trace:AMOUNT_REQ@8800.0;False;0.0
Feature;100;0;trace:AMOUNT_REQ@4400.0;False;0.0
Feature;100;0;trace:AMOUNT_REQ@10700.0;False;0.0
Feature;100;0;trace:AMOUNT_REQ@10800.0;False;0.0
Feature;100;0;trace:AMOUNT_REQ@13100.0;False;0.0
Feature;100;0;trace:AMOUNT_REQ@27300.0;False;0.0
Feature;100;0;trace:AMOUNT_REQ@37200.0;False;0.0
Feature;100;0;trace:AMOUNT_REQ@900.0;False;0.0
Feature;100;0;trace:AMOUNT_REQ@28800.0;False;0.0
Feature;100;0;trace:AMOUNT_REQ@9100.0;False;0.0
Feature;100;0;trace:AMOUNT_REQ@12600.0;False;0.0
Feature;100;0;trace:AMOUNT_REQ@11700.0;False;0.0
Feature;100;0;trace:AMOUNT_REQ@29700.0;False;0.0
Feature;100;0;trace:AMOUNT_REQ@44000.0;False;0.0
Feature;100;0;trace:AMOUNT_REQ@22900.0;False;0.0
Feature;100;0;event:org:resource@11309;False;0.0
Feature;100;0;trace:AMOUNT_REQ@32500.0;False;0.0
Feature;100;0;trace:AMOUNT_REQ@26700.0;False;0.0
Feature;100;0;trace:AMOUNT_REQ@5100.0;False;0.0
Feature;100;0;trace:AMOUNT_REQ@29400.0;False;0.0
Feature;100;0;trace:AMOUNT_REQ@2800.0;False;0.0
Feature;100;0;trace:AMOUNT_REQ@9700.0;False;0.0
Feature;100;0;trace:AMOUNT_REQ@38500.0;False;0.0
Feature;100;0;trace:AMOUNT_REQ@22800.0;False;0.0
Feature;100;0;trace:AMOUNT_REQ@37700.0;False;0.0
Feature;100;0;trace:AMOUNT_REQ@32700.0;False;0.0
Feature;100;0;event:org:resource@10124;False;0.0
Feature;100;0;trace:AMOUNT_REQ@2300.0;False;0.0
Feature;100;0;trace:AMOUNT_REQ@48500.0;False;0.0
